subjNum;subjStartDate;subjStartTime;trialIndex;exptId;choicePos;vidPlayCounts;rt
1;2024-10-08;23:16:07;0;29;right;{"vid1":1,"vid2":1,"vid3":1};21.897
1;2024-10-08;23:16:07;1;34;right;{"vid1":2,"vid2":2,"vid3":2};39.827
2;2024-10-08;23:17:20;0;7;middle;{"vid1":1,"vid2":2,"vid3":1};13.386
1;2024-10-08;23:16:07;2;19;middle;{"vid1":3,"vid2":3,"vid3":3};58.96
1;2024-10-08;23:16:07;3;39;middle;{"vid1":4,"vid2":4,"vid3":4};82.882
2;2024-10-08;23:17:20;1;37;left;{"vid1":6,"vid2":4,"vid3":4};65.214
1;2024-10-08;23:16:07;4;31;right;{"vid1":5,"vid2":5,"vid3":5};106.792
1;2024-10-08;23:16:07;5;1;right;{"vid1":6,"vid2":6,"vid3":6};118.899
2;2024-10-08;23:17:20;2;17;left;{"vid1":3,"vid2":3,"vid3":3};93.02
2;2024-10-08;23:17:20;3;34;right;{"vid1":4,"vid2":4,"vid3":4};109.468
1;2024-10-08;23:16:07;6;30;left;{"vid1":14,"vid2":7,"vid3":7};148.828
1;2024-10-08;23:16:07;7;0;middle;{"vid1":8,"vid2":8,"vid3":8};168.707
2;2024-10-08;23:17:20;4;31;left;{"vid1":10,"vid2":5,"vid3":5};147.521
1;2024-10-08;23:16:07;8;43;right;{"vid1":9,"vid2":9,"vid3":9};192.722
2;2024-10-08;23:17:20;5;3;right;{"vid1":6,"vid2":6,"vid3":6};168.1
1;2024-10-08;23:16:07;9;18;middle;{"vid1":10,"vid2":10,"vid3":10};221.108
1;2024-10-08;23:16:07;10;26;left;{"vid1":22,"vid2":11,"vid3":11};247.923
3;2024-10-08;23:19:39;0;1;left;{"vid1":2,"vid2":1,"vid3":1};65.302
1;2024-10-08;23:16:07;11;27;right;{"vid1":12,"vid2":12,"vid3":12};261.969
1;2024-10-08;23:16:07;12;9;left;{"vid1":13,"vid2":13,"vid3":13};287.032
1;2024-10-08;23:16:07;13;22;right;{"vid1":14,"vid2":14,"vid3":14};306.1
1;2024-10-08;23:16:07;14;11;right;{"vid1":15,"vid2":15,"vid3":15};328.819
1;2024-10-08;23:16:07;15;41;right;{"vid1":16,"vid2":16,"vid3":16};359.06
3;2024-10-08;23:19:39;1;17;right;{"vid1":6,"vid2":6,"vid3":8};182.387
1;2024-10-08;23:16:07;16;6;middle;{"vid1":34,"vid2":17,"vid3":17};391.407
1;2024-10-08;23:16:07;17;12;middle;{"vid1":18,"vid2":18,"vid3":18};412.092
1;2024-10-08;23:16:07;18;33;middle;{"vid1":19,"vid2":19,"vid3":19};428.816
3;2024-10-08;23:19:39;2;35;left;{"vid1":9,"vid2":6,"vid3":6};248.337
1;2024-10-08;23:16:07;19;32;left;{"vid1":20,"vid2":20,"vid3":20};445.735
1;2024-10-08;23:16:07;20;16;middle;{"vid1":21,"vid2":21,"vid3":21};459.604
3;2024-10-08;23:19:39;3;12;right;{"vid1":4,"vid2":4,"vid3":4};284.405
1;2024-10-08;23:16:07;21;20;middle;{"vid1":44,"vid2":22,"vid3":22};484.101
1;2024-10-08;23:16:07;22;14;left;{"vid1":23,"vid2":23,"vid3":23};502.189
1;2024-10-08;23:16:07;23;36;middle;{"vid1":24,"vid2":24,"vid3":24};523.451
1;2024-10-08;23:16:07;24;17;middle;{"vid1":25,"vid2":25,"vid3":25};547.11
3;2024-10-08;23:19:39;4;29;left;{"vid1":20,"vid2":20,"vid3":10};368.24
1;2024-10-08;23:16:07;25;24;middle;{"vid1":26,"vid2":26,"vid3":26};569.113
4;2024-10-08;23:25:15;0;5;middle;{"vid1":1,"vid2":1,"vid3":1};22.584
1;2024-10-08;23:16:07;26;38;middle;{"vid1":27,"vid2":27,"vid3":27};594.279
4;2024-10-08;23:25:15;1;30;middle;{"vid1":2,"vid2":2,"vid3":2};47.926
1;2024-10-08;23:16:07;27;3;left;{"vid1":28,"vid2":28,"vid3":28};624.591
3;2024-10-08;23:19:39;5;30;left;{"vid1":18,"vid2":12,"vid3":12};436.239
1;2024-10-08;23:16:07;28;42;left;{"vid1":29,"vid2":29,"vid3":29};646.727
4;2024-10-08;23:25:15;2;18;middle;{"vid1":3,"vid2":3,"vid3":3};81.736
3;2024-10-08;23:19:39;6;24;right;{"vid1":7,"vid2":14,"vid3":14};464.837
1;2024-10-08;23:16:07;29;10;middle;{"vid1":30,"vid2":30,"vid3":30};673.8
4;2024-10-08;23:25:15;3;7;middle;{"vid1":8,"vid2":8,"vid3":4};108.335
3;2024-10-08;23:19:39;7;34;middle;{"vid1":16,"vid2":8,"vid3":8};490.172
1;2024-10-08;23:16:07;30;15;middle;{"vid1":31,"vid2":31,"vid3":31};692.304
4;2024-10-08;23:25:15;4;35;middle;{"vid1":5,"vid2":5,"vid3":5};129.005
4;2024-10-08;23:25:15;5;44;middle;{"vid1":6,"vid2":6,"vid3":6};149.825
3;2024-10-08;23:19:39;8;9;middle;{"vid1":18,"vid2":18,"vid3":18};528.073
1;2024-10-08;23:16:07;31;44;left;{"vid1":32,"vid2":32,"vid3":32};725.665
1;2024-10-08;23:16:07;32;23;right;{"vid1":33,"vid2":33,"vid3":33};741.407
3;2024-10-08;23:19:39;9;2;left;{"vid1":10,"vid2":10,"vid3":10};561.189
4;2024-10-08;23:25:15;6;0;middle;{"vid1":14,"vid2":7,"vid3":7};187.095
1;2024-10-08;23:16:07;33;2;middle;{"vid1":34,"vid2":34,"vid3":34};766.775
3;2024-10-08;23:19:39;10;33;right;{"vid1":22,"vid2":22,"vid3":11};577.406
4;2024-10-08;23:25:15;7;27;left;{"vid1":8,"vid2":8,"vid3":8};216.218
1;2024-10-08;23:16:07;34;28;left;{"vid1":35,"vid2":35,"vid3":35};783.872
1;2024-10-08;23:16:07;35;4;middle;{"vid1":36,"vid2":36,"vid3":36};801.384
3;2024-10-08;23:19:39;11;38;left;{"vid1":48,"vid2":36,"vid3":24};635.091
1;2024-10-08;23:16:07;36;40;left;{"vid1":74,"vid2":37,"vid3":37};828.776
4;2024-10-08;23:25:15;8;6;left;{"vid1":18,"vid2":9,"vid3":9};277.681
1;2024-10-08;23:16:07;37;35;left;{"vid1":38,"vid2":38,"vid3":38};851.954
1;2024-10-08;23:16:07;38;13;middle;{"vid1":78,"vid2":39,"vid3":39};881.349
3;2024-10-08;23:19:39;12;31;right;{"vid1":26,"vid2":39,"vid3":39};691.558
1;2024-10-08;23:16:07;39;7;right;{"vid1":80,"vid2":40,"vid3":40};900.54
3;2024-10-08;23:19:39;13;22;middle;{"vid1":14,"vid2":28,"vid3":14};717.692
1;2024-10-08;23:16:07;40;25;left;{"vid1":41,"vid2":41,"vid3":41};918.404
1;2024-10-08;23:16:07;41;21;middle;{"vid1":42,"vid2":42,"vid3":42};934.059
3;2024-10-08;23:19:39;14;13;left;{"vid1":30,"vid2":15,"vid3":15};750.69
1;2024-10-08;23:16:07;42;5;left;{"vid1":43,"vid2":43,"vid3":43};964.775
4;2024-10-08;23:25:15;9;1;left;{"vid1":20,"vid2":10,"vid3":10};407.294
3;2024-10-08;23:19:39;15;44;right;{"vid1":32,"vid2":32,"vid3":16};794.261
1;2024-10-08;23:16:07;43;37;middle;{"vid1":44,"vid2":44,"vid3":44};992.563
4;2024-10-08;23:25:15;10;24;right;{"vid1":11,"vid2":11,"vid3":22};441.789
3;2024-10-08;23:19:39;16;20;left;{"vid1":34,"vid2":17,"vid3":17};839.027
1;2024-10-08;23:16:07;44;8;right;{"vid1":90,"vid2":90,"vid3":45};1030.888
4;2024-10-08;23:25:15;11;15;right;{"vid1":12,"vid2":12,"vid3":12};463.319
3;2024-10-08;23:19:39;17;6;middle;{"vid1":18,"vid2":36,"vid3":18};866.127
4;2024-10-08;23:25:15;12;2;right;{"vid1":26,"vid2":13,"vid3":13};520.323
3;2024-10-08;23:19:39;18;3;left;{"vid1":38,"vid2":57,"vid3":57};936.743
4;2024-10-08;23:25:15;13;13;middle;{"vid1":14,"vid2":14,"vid3":14};583.244
3;2024-10-08;23:19:39;19;37;middle;{"vid1":40,"vid2":40,"vid3":20};963.011
4;2024-10-08;23:25:15;14;41;right;{"vid1":15,"vid2":15,"vid3":15};611.919
4;2024-10-08;23:25:15;15;11;middle;{"vid1":16,"vid2":16,"vid3":16};633.377
3;2024-10-08;23:19:39;20;21;middle;{"vid1":42,"vid2":42,"vid3":42};1038.827
4;2024-10-08;23:25:15;16;22;middle;{"vid1":51,"vid2":34,"vid3":17};677.145
3;2024-10-08;23:19:39;21;5;middle;{"vid1":22,"vid2":22,"vid3":22};1072.029
4;2024-10-08;23:25:15;17;23;right;{"vid1":18,"vid2":18,"vid3":18};702.549
3;2024-10-08;23:19:39;22;14;left;{"vid1":46,"vid2":46,"vid3":23};1115.596
3;2024-10-08;23:19:39;23;15;left;{"vid1":48,"vid2":24,"vid3":24};1146.927
3;2024-10-08;23:19:39;24;41;left;{"vid1":25,"vid2":25,"vid3":25};1174.979
4;2024-10-08;23:25:15;18;26;right;{"vid1":38,"vid2":19,"vid3":19};819.747
3;2024-10-08;23:19:39;25;28;middle;{"vid1":52,"vid2":26,"vid3":26};1214.795
4;2024-10-08;23:25:15;19;20;right;{"vid1":40,"vid2":20,"vid3":40};875.801
3;2024-10-08;23:19:39;26;8;middle;{"vid1":54,"vid2":81,"vid3":54};1271.861
4;2024-10-08;23:25:15;20;14;middle;{"vid1":21,"vid2":21,"vid3":21};909.022
4;2024-10-08;23:25:15;21;33;middle;{"vid1":22,"vid2":22,"vid3":22};956.501
4;2024-10-08;23:25:15;22;28;right;{"vid1":46,"vid2":46,"vid3":23};981.412
3;2024-10-08;23:19:39;27;0;middle;{"vid1":84,"vid2":56,"vid3":56};1371.064
3;2024-10-08;23:19:39;28;10;middle;{"vid1":58,"vid2":58,"vid3":29};1445.099
3;2024-10-08;23:19:39;29;11;left;{"vid1":30,"vid2":60,"vid3":60};1516.2
3;2024-10-08;23:19:39;30;16;right;{"vid1":93,"vid2":155,"vid3":62};1571.965
3;2024-10-08;23:19:39;31;26;middle;{"vid1":64,"vid2":32,"vid3":64};1600.233
3;2024-10-08;23:19:39;32;7;left;{"vid1":33,"vid2":33,"vid3":33};1629.485
3;2024-10-08;23:19:39;33;4;middle;{"vid1":68,"vid2":68,"vid3":34};1661.149
3;2024-10-08;23:19:39;34;23;middle;{"vid1":35,"vid2":35,"vid3":35};1683.95
4;2024-10-08;23:25:15;23;32;middle;{"vid1":24,"vid2":24,"vid3":24};1452.26
3;2024-10-08;23:19:39;35;36;middle;{"vid1":144,"vid2":72,"vid3":36};1839.14
3;2024-10-08;23:19:39;36;43;left;{"vid1":74,"vid2":37,"vid3":37};1864.733
3;2024-10-08;23:19:39;37;39;right;{"vid1":76,"vid2":76,"vid3":38};1881.663
3;2024-10-08;23:19:39;38;25;left;{"vid1":117,"vid2":78,"vid3":78};1927.131
4;2024-10-08;23:25:15;24;43;left;{"vid1":25,"vid2":25,"vid3":25};1554.039
3;2024-10-08;23:19:39;39;32;middle;{"vid1":80,"vid2":40,"vid3":40};1959.646
4;2024-10-08;23:25:15;25;21;middle;{"vid1":52,"vid2":52,"vid3":26};1621.368
3;2024-10-08;23:19:39;40;42;middle;{"vid1":123,"vid2":41,"vid3":82};2021.811
4;2024-10-08;23:25:15;26;31;left;{"vid1":27,"vid2":27,"vid3":27};1684.538
4;2024-10-08;23:25:15;27;42;middle;{"vid1":28,"vid2":28,"vid3":28};1714.508
3;2024-10-08;23:19:39;41;40;right;{"vid1":84,"vid2":84,"vid3":84};2128.194
4;2024-10-08;23:25:15;28;34;middle;{"vid1":58,"vid2":29,"vid3":29};1777.386
3;2024-10-08;23:19:39;42;19;left;{"vid1":43,"vid2":43,"vid3":43};2155.845
3;2024-10-08;23:19:39;43;27;middle;{"vid1":88,"vid2":44,"vid3":44};2203.36
4;2024-10-08;23:25:15;29;17;middle;{"vid1":60,"vid2":30,"vid3":30};1843.665
3;2024-10-08;23:19:39;44;18;left;{"vid1":135,"vid2":45,"vid3":45};2233.544
4;2024-10-08;23:25:15;30;29;left;{"vid1":31,"vid2":62,"vid3":31};1903.497
4;2024-10-08;23:25:15;31;36;middle;{"vid1":64,"vid2":32,"vid3":32};1968.083
5;2024-10-08;23:56:06;0;1;right;{"vid1":1,"vid2":1,"vid3":2};30.15
4;2024-10-08;23:25:15;32;9;middle;{"vid1":33,"vid2":33,"vid3":33};2004.56
6;2024-10-08;23:57:45;0;28;left;{"vid1":1,"vid2":1,"vid3":1};23.506
4;2024-10-08;23:25:15;33;39;left;{"vid1":34,"vid2":34,"vid3":34};2029.274
-999;2024-10-08;23:48:22;0;43;middle;{"vid1":1,"vid2":1,"vid3":2};30.341
5;2024-10-08;23:56:06;1;2;right;{"vid1":2,"vid2":2,"vid3":2};64.715
4;2024-10-08;23:25:15;34;16;middle;{"vid1":35,"vid2":35,"vid3":35};2056.521
6;2024-10-08;23:57:45;1;27;middle;{"vid1":4,"vid2":2,"vid3":2};68.329
-999;2024-10-08;23:48:22;1;9;left;{"vid1":2,"vid2":2,"vid3":2};73.546
4;2024-10-08;23:25:15;35;10;middle;{"vid1":36,"vid2":36,"vid3":36};2078.571
5;2024-10-08;23:56:06;2;21;right;{"vid1":9,"vid2":9,"vid3":6};122.666
6;2024-10-08;23:57:45;2;21;right;{"vid1":3,"vid2":3,"vid3":3};94.477
4;2024-10-08;23:25:15;36;19;right;{"vid1":37,"vid2":37,"vid3":37};2115.751
6;2024-10-08;23:57:45;3;23;left;{"vid1":4,"vid2":4,"vid3":4};121.343
4;2024-10-08;23:25:15;37;12;right;{"vid1":38,"vid2":38,"vid3":38};2131.218
5;2024-10-08;23:56:06;3;40;middle;{"vid1":8,"vid2":4,"vid3":4};161.531
6;2024-10-08;23:57:45;4;38;left;{"vid1":5,"vid2":5,"vid3":5};144.399
5;2024-10-08;23:56:06;4;28;right;{"vid1":5,"vid2":10,"vid3":5};212.264
6;2024-10-08;23:57:45;5;33;right;{"vid1":12,"vid2":12,"vid3":12};194.305
5;2024-10-08;23:56:06;5;38;right;{"vid1":6,"vid2":6,"vid3":6};244.585
4;2024-10-08;23:25:15;38;37;right;{"vid1":78,"vid2":39,"vid3":39};2223.447
6;2024-10-08;23:57:45;6;3;middle;{"vid1":14,"vid2":14,"vid3":7};225.427
5;2024-10-08;23:56:06;6;9;right;{"vid1":7,"vid2":7,"vid3":7};268.741
4;2024-10-08;23:25:15;39;4;left;{"vid1":40,"vid2":40,"vid3":40};2243.147
6;2024-10-08;23:57:45;7;41;right;{"vid1":8,"vid2":8,"vid3":8};255.806
5;2024-10-08;23:56:06;7;25;right;{"vid1":8,"vid2":8,"vid3":8};285.781
5;2024-10-08;23:56:06;8;43;middle;{"vid1":9,"vid2":9,"vid3":9};315.737
6;2024-10-08;23:57:45;8;25;right;{"vid1":18,"vid2":18,"vid3":9};298.031
5;2024-10-08;23:56:06;9;4;middle;{"vid1":20,"vid2":20,"vid3":10};339.01
4;2024-10-08;23:25:15;40;8;middle;{"vid1":41,"vid2":41,"vid3":41};2321.079
6;2024-10-08;23:57:45;9;42;middle;{"vid1":20,"vid2":10,"vid3":10};335.3
5;2024-10-08;23:56:06;10;29;right;{"vid1":22,"vid2":11,"vid3":11};364.983
4;2024-10-08;23:25:15;41;3;left;{"vid1":42,"vid2":42,"vid3":42};2338.845
5;2024-10-08;23:56:06;11;30;right;{"vid1":12,"vid2":12,"vid3":12};384.204
6;2024-10-08;23:57:45;10;34;right;{"vid1":11,"vid2":11,"vid3":11};357.975
4;2024-10-08;23:25:15;42;25;left;{"vid1":43,"vid2":43,"vid3":43};2366.975
5;2024-10-08;23:56:06;12;37;middle;{"vid1":13,"vid2":13,"vid3":13};398.609
4;2024-10-08;23:25:15;43;38;right;{"vid1":44,"vid2":44,"vid3":44};2392.693
5;2024-10-08;23:56:06;13;13;right;{"vid1":14,"vid2":14,"vid3":14};426.052
6;2024-10-08;23:57:45;11;14;middle;{"vid1":24,"vid2":24,"vid3":24};400.393
6;2024-10-08;23:57:45;12;37;middle;{"vid1":13,"vid2":13,"vid3":13};425.022
5;2024-10-08;23:56:06;14;32;left;{"vid1":15,"vid2":15,"vid3":15};454.781
4;2024-10-08;23:25:15;44;40;middle;{"vid1":90,"vid2":45,"vid3":45};2450.921
6;2024-10-08;23:57:45;13;19;left;{"vid1":14,"vid2":14,"vid3":14};453.75
5;2024-10-08;23:56:06;15;39;right;{"vid1":16,"vid2":16,"vid3":16};488.993
6;2024-10-08;23:57:45;14;8;middle;{"vid1":15,"vid2":15,"vid3":15};469.468
6;2024-10-08;23:57:45;15;20;right;{"vid1":16,"vid2":16,"vid3":16};486.963
5;2024-10-08;23:56:06;16;17;right;{"vid1":34,"vid2":17,"vid3":17};520.082
6;2024-10-08;23:57:45;16;26;right;{"vid1":17,"vid2":17,"vid3":17};511.923
5;2024-10-08;23:56:06;17;10;left;{"vid1":36,"vid2":18,"vid3":18};547.515
6;2024-10-08;23:57:45;17;4;left;{"vid1":18,"vid2":18,"vid3":18};543.613
5;2024-10-08;23:56:06;18;15;left;{"vid1":19,"vid2":19,"vid3":19};574.446
5;2024-10-08;23:56:06;19;14;right;{"vid1":20,"vid2":20,"vid3":20};600.366
6;2024-10-08;23:57:45;18;18;left;{"vid1":38,"vid2":19,"vid3":19};582.673
5;2024-10-08;23:56:06;20;33;right;{"vid1":21,"vid2":21,"vid3":21};617.298
7;2024-10-09;00:08:22;0;21;middle;{"vid1":1,"vid2":1,"vid3":1};48.445
6;2024-10-08;23:57:45;19;2;left;{"vid1":20,"vid2":20,"vid3":20};607.344
7;2024-10-09;00:08:22;1;5;right;{"vid1":2,"vid2":2,"vid3":2};63.905
5;2024-10-08;23:56:06;21;16;middle;{"vid1":22,"vid2":22,"vid3":22};647.83
6;2024-10-08;23:57:45;20;7;left;{"vid1":21,"vid2":21,"vid3":21};623.698
7;2024-10-09;00:08:22;2;32;middle;{"vid1":3,"vid2":3,"vid3":3};84.875
5;2024-10-08;23:56:06;22;23;right;{"vid1":23,"vid2":46,"vid3":23};673.997
7;2024-10-09;00:08:22;3;17;left;{"vid1":4,"vid2":4,"vid3":4};107.92
6;2024-10-08;23:57:45;21;16;left;{"vid1":44,"vid2":22,"vid3":22};655.883
5;2024-10-08;23:56:06;23;36;left;{"vid1":24,"vid2":24,"vid3":24};695.631
6;2024-10-08;23:57:45;22;0;left;{"vid1":46,"vid2":23,"vid3":23};683.328
7;2024-10-09;00:08:22;4;44;middle;{"vid1":5,"vid2":5,"vid3":10};149.467
